date,open,high,low,close,volume
1984-09-07,1.1267,1.1355,1.1016,1.1355,39300
1984-09-10,1.1267,1.1267,1.0758,1.0847,90998
1984-09-11,1.0847,1.0847,1.0596,1.0596,90401
1984-09-12,1.0847,1.0847,1.0847,1.0847,6900
1984-09-13,1.1016,1.1016,1.1016,1.1016,15000
1984-09-14,1.1016,1.1267,1.0847,1.1016,29702
1984-09-17,1.1016,1.1016,1.1016,1.1016,1301
1984-09-18,1.1016,1.1016,1.0596,1.0596,35701
1984-09-19,1.1016,1.1016,1.1016,1.1016,3999
1984-09-20,1.1016,1.1016,1.1016,1.1016,4901
1984-09-21,1.0847,1.0847,1.0596,1.0847,39300
1984-09-24,1.0508,1.0508,1.0508,1.0508,101
1984-09-25,1.0508,1.0508,1.0508,1.0508,3999
1984-09-26,1.0508,1.0596,1.0508,1.0508,21602
1984-09-27,1.0596,1.0596,1.0596,1.0596,54599
1984-09-28,1.0596,1.0596,1.0508,1.0596,61601
1984-10-01,1.0596,1.0596,1.0169,1.0169,43801
1984-10-02,1.0169,1.0426,1.0169,1.0169,18098
1984-10-03,1.0169,1.0508,0.9999,0.9999,20199
1984-10-04,0.9999,1.0508,0.9999,0.9999,2800
1984-10-05,1.0169,1.0169,1.0169,1.0169,1898
1984-10-08,1.0169,1.0508,1.0169,1.0169,5999
1984-10-09,1.0169,1.0426,1.0169,1.0169,17101
1984-10-10,1.0169,1.0426,1.0169,1.0169,15000
1984-10-11,0.9660,0.9660,0.9660,0.9660,15000
1984-10-12,0.9321,0.9321,0.9152,0.9152,30299
1984-10-15,0.9152,0.9572,0.9152,0.9152,5999
1984-10-16,0.9152,0.9152,0.9152,0.9152,14099
1984-10-17,0.9660,0.9660,0.9660,0.9660,23100
1984-10-18,0.9572,0.9572,0.9572,0.9572,13001
1984-10-19,0.9572,0.9999,0.9572,0.9748,37301
1984-10-22,0.9748,0.9999,0.9660,0.9660,15000
1984-10-23,0.9660,0.9999,0.9660,0.9660,26198
1984-10-24,0.9660,0.9999,0.9660,0.9660,2800
1984-10-25,0.9660,0.9660,0.9660,0.9660,101
1984-10-26,0.9660,0.9748,0.9660,0.9660,110201
1984-10-29,0.9748,0.9748,0.9748,0.9748,81901
1984-10-30,0.9572,0.9572,0.9572,0.9572,101
1984-10-31,0.9660,0.9660,0.9660,0.9660,13001
1984-11-01,0.9660,0.9748,0.9321,0.9321,39300
1984-11-02,0.9321,0.9572,0.9321,0.9321,9001
1984-11-05,0.9152,0.9152,0.8894,0.8894,62699
1984-11-06,0.8894,0.8894,0.8894,0.8894,28299
1984-11-07,0.8813,0.8813,0.8813,0.8813,1301
1984-11-08,0.8894,0.9152,0.8894,0.8982,27100
1984-11-09,0.8982,0.9152,0.8894,0.8982,21602
1984-11-12,0.8894,0.8894,0.8894,0.8894,3999
1984-11-13,0.9152,0.9152,0.9152,0.9152,68799
1984-11-14,0.8894,0.8894,0.8894,0.8894,3999
1984-11-15,0.8894,0.8894,0.8894,0.8894,6900
1984-11-16,0.8894,0.9152,0.8813,0.8813,22199
1984-11-19,0.8813,0.9152,0.8813,0.8813,21101
1984-11-20,0.8813,0.8813,0.8813,0.8813,68799
1984-11-21,0.8474,0.8474,0.8474,0.8474,9001
1984-11-23,0.8474,0.8813,0.8474,0.8474,3999
1984-11-26,0.8732,0.8894,0.8732,0.8732,9998
1984-11-27,0.8732,0.9152,0.8474,0.8474,263402
1984-11-28,0.9152,0.9152,0.9152,0.9152,99098
1984-11-29,0.9152,0.9152,0.8732,0.8732,38399
1984-11-30,0.8732,0.8894,0.8474,0.8894,15000
1984-12-03,0.8813,0.8813,0.8474,0.8474,14099
1984-12-04,0.8732,0.8813,0.8732,0.8732,26198
