date,open,high,low,close,volume
1991-08-30,1.2879,1.3806,1.2879,1.3614,723600
1991-09-03,1.3614,1.3614,1.2334,1.2511,506100
1991-09-04,1.2334,1.2687,1.2334,1.2511,398100
1991-09-05,1.2511,1.2511,1.2143,1.2334,453300
1991-09-06,1.2334,1.2334,1.1966,1.1966,117300
1991-09-09,1.2334,1.2334,1.1775,1.1775,44700
1991-09-10,1.1775,1.2143,1.1775,1.1966,72000
1991-09-11,1.1775,1.1966,1.1775,1.1966,240300
1991-09-12,1.1966,1.2334,1.1775,1.2334,86400
1991-09-13,1.2334,1.2687,1.2143,1.2687,118800
1991-09-16,1.2879,1.3247,1.2334,1.2879,446100
1991-09-17,1.2879,1.3614,1.2879,1.2879,141300
1991-09-18,1.3438,1.4718,1.3055,1.4527,431700
1991-09-19,1.4159,1.5278,1.3614,1.5278,1057500
1991-09-20,1.5646,1.6190,1.4718,1.4895,236400
1991-09-23,1.5646,1.5646,1.4350,1.4350,127800
1991-09-24,1.4527,1.5086,1.4350,1.4350,166800
1991-09-25,1.5086,1.5086,1.3982,1.4718,61800
1991-09-26,1.4895,1.4895,1.4350,1.4350,48600
1991-09-27,1.4895,1.5086,1.4527,1.4527,121200
1991-09-30,1.4159,1.4718,1.4159,1.4350,51900
1991-10-01,1.4895,1.4895,1.3982,1.4718,21300
1991-10-02,1.4895,1.5086,1.4527,1.5086,81600
1991-10-03,1.4895,1.5278,1.4718,1.4718,119700
1991-10-04,1.5278,1.5278,1.4718,1.5086,57900
1991-10-07,1.5454,1.5646,1.4527,1.4718,71400
1991-10-08,1.5278,1.5278,1.4527,1.4718,36000
1991-10-09,1.4895,1.4895,1.3982,1.3982,50400
1991-10-10,1.4350,1.4350,1.3614,1.3982,49200
1991-10-11,1.4350,1.4350,1.3614,1.3614,33600
1991-10-14,1.3982,1.4527,1.3614,1.4527,23100
1991-10-15,1.4527,1.4527,1.3614,1.3982,40200
1991-10-16,1.4350,1.4350,1.3982,1.3982,4500
1991-10-17,1.3806,1.4527,1.3806,1.4350,164100
1991-10-18,1.3982,1.4718,1.3982,1.4350,17700
1991-10-21,1.3982,1.4350,1.3982,1.3982,39900
1991-10-22,1.3806,1.5278,1.3806,1.5278,311100
1991-10-23,1.4527,1.4895,1.4159,1.4159,78900
1991-10-24,1.4527,1.4527,1.3806,1.3806,71100
1991-10-25,1.4350,1.4718,1.3806,1.3806,6000
1991-10-28,1.4718,1.4718,1.3806,1.3982,50400
1991-10-29,1.4159,1.4159,1.3614,1.4159,17100
1991-10-30,1.4350,1.4527,1.3982,1.4527,115800
1991-10-31,1.3982,1.4718,1.3982,1.4718,35700
1991-11-01,1.4350,1.4350,1.3982,1.4350,21000
1991-11-04,1.4527,1.4718,1.4350,1.4350,34200
1991-11-05,1.4895,1.4895,1.4159,1.4159,31200
1991-11-06,1.4350,1.4350,1.3614,1.3614,12900
1991-11-07,1.4350,1.4350,1.3614,1.3806,31800
1991-11-08,1.3982,1.3982,1.3438,1.3806,8700
1991-11-11,1.3438,1.3982,1.3438,1.3438,11700
1991-11-12,1.3806,1.4350,1.3806,1.4350,27000
1991-11-13,1.4350,1.4527,1.3982,1.4527,45900
1991-11-14,1.3982,1.4350,1.3614,1.3614,36300
1991-11-15,1.3614,1.3614,1.2511,1.3247,119100
1991-11-18,1.3247,1.3247,1.2143,1.3247,66000
1991-11-19,1.2511,1.3247,1.2334,1.2879,12000
1991-11-20,1.2879,1.2879,1.1775,1.1775,67200
1991-11-21,1.2143,1.2511,1.1966,1.2143,159900
1991-11-22,1.2511,1.2511,1.1775,1.1966,28200
1991-11-25,1.2511,1.2511,1.1966,1.1966,5100
1991-11-26,1.1775,1.2511,1.1775,1.1775,105900
1991-11-27,1.1775,1.2511,1.1598,1.1598,19500
1991-11-29,1.1215,1.1966,1.1039,1.1215,51600
1991-12-02,1.1039,1.1407,1.0847,1.1407,42300
1991-12-03,1.1407,1.1407,1.0671,1.0671,3300
1991-12-04,1.0671,1.1039,0.9199,0.9935,282300
1991-12-05,0.9935,1.0303,0.9935,1.0126,110700
1991-12-06,1.0303,1.0303,0.9567,0.9935,81300
1991-12-09,0.9567,1.0494,0.8654,1.0303,245700
1991-12-10,1.1039,1.1215,1.0671,1.1039,123000
1991-12-11,1.1215,1.1215,1.1215,1.1215,2100
1991-12-12,1.1215,1.1215,1.1215,1.1215,6000
1991-12-13,1.1230,1.1230,1.1230,1.1230,0
1991-12-16,1.1215,1.2334,1.1215,1.2334,155700
1991-12-17,1.2334,1.2334,1.1407,1.1407,42600
1991-12-18,1.2143,1.2143,1.1407,1.1407,34500
1991-12-19,1.1215,1.1775,1.0671,1.0671,81000
1991-12-20,1.1039,1.1039,1.0494,1.1039,5100
1991-12-23,1.0303,1.0671,1.0126,1.0303,39900
1991-12-24,1.0126,1.0126,1.0126,1.0126,2400
1991-12-26,1.0671,1.0671,1.0303,1.0303,42900
1991-12-27,1.0303,1.1039,1.0303,1.0303,14100
1991-12-30,1.0303,1.1039,1.0303,1.0671,42900
1991-12-31,1.1039,1.1598,1.1039,1.1407,37500
1992-01-02,1.1598,1.1775,1.1039,1.1775,76800
1992-01-03,1.2879,1.2879,1.2511,1.2879,64500
1992-01-06,1.2879,1.2879,1.2143,1.2143,26400
1992-01-07,1.2879,1.2879,1.2143,1.2879,12000
1992-01-08,1.2511,1.3982,1.2511,1.2687,63600
1992-01-09,1.2879,1.3438,1.2879,1.3055,41400
1992-01-10,1.3055,1.3614,1.3055,1.3614,68100
1992-01-13,1.3806,1.3806,1.3247,1.3438,37200
1992-01-14,1.3614,1.3614,1.2511,1.2687,67500
1992-01-15,1.3055,1.3055,1.3055,1.3055,9900
1992-01-16,1.2879,1.3247,1.2687,1.2879,20100
1992-01-17,1.3247,1.3247,1.3247,1.3247,600
1992-01-20,1.3247,1.3247,1.2687,1.2687,12600
1992-01-21,1.3055,1.3055,1.2511,1.2511,11700
1992-01-22,1.3055,1.3055,1.3055,1.3055,2700
1992-01-23,1.2511,1.3055,1.2511,1.2879,52200
1992-01-24,1.3247,1.3247,1.2687,1.3055,9600
1992-01-27,1.2687,1.3806,1.2687,1.3247,169800
1992-01-28,1.3247,1.3438,1.3055,1.3055,142500
1992-01-29,1.3247,1.3247,1.3247,1.3247,600
1992-01-30,1.3247,1.3247,1.2879,1.3247,642300
1992-01-31,1.3055,1.3614,1.3055,1.3614,22800
1992-02-03,1.2879,1.2879,1.2879,1.2879,6000
1992-02-04,1.3247,1.3247,1.3055,1.3055,9300
1992-02-05,1.3247,1.3247,1.2879,1.2879,29400
1992-02-06,1.2879,1.3055,1.2687,1.2879,201600
1992-02-07,1.3055,1.3247,1.2879,1.3055,172500
1992-02-10,1.3438,1.3438,1.3055,1.3055,43800
1992-02-11,1.3438,1.3438,1.2511,1.2687,196500
1992-02-12,1.2879,1.3614,1.2687,1.3055,30900
1992-02-13,1.3247,1.3247,1.2687,1.2687,59400
1992-02-14,1.2687,1.2687,1.2511,1.2511,28800
1992-02-18,1.3055,1.3055,1.2334,1.2334,33000
1992-02-19,1.2879,1.2879,1.2143,1.2334,75300
1992-02-20,1.2511,1.2687,1.2511,1.2687,64800
1992-02-21,1.3055,1.3055,1.2511,1.2511,6300
1992-02-24,1.3055,1.3055,1.2334,1.2334,32400
1992-02-25,1.2334,1.2879,1.2334,1.2879,59100
1992-02-26,1.3055,1.3055,1.2334,1.2334,8400
1992-02-27,1.2687,1.2879,1.2687,1.2879,71700
1992-02-28,1.2687,1.3055,1.2687,1.2687,26100
1992-03-02,1.3055,1.3055,1.2143,1.2143,197100
1992-03-03,1.2687,1.2879,1.1966,1.2143,28500
1992-03-04,1.2511,1.3247,1.1966,1.3247,758400
1992-03-05,1.3614,1.3982,1.3614,1.3806,77100
1992-03-06,1.3247,1.3806,1.2879,1.3438,77100
1992-03-09,1.3614,1.3806,1.2879,1.3806,306600
1992-03-10,1.3614,1.3614,1.3247,1.3247,48300
1992-03-11,1.3806,1.3806,1.3614,1.3614,6000
1992-03-12,1.3614,1.3614,1.3055,1.3055,13200
1992-03-13,1.3614,1.3614,1.3247,1.3438,2100
1992-03-16,1.3055,1.3438,1.3055,1.3055,63300
1992-03-17,1.3247,1.3438,1.2879,1.3247,25200
1992-03-18,1.3438,1.3438,1.3055,1.3055,12600
1992-03-19,1.3438,1.3438,1.3438,1.3438,3000
1992-03-20,1.3247,1.3614,1.3247,1.3438,72000
1992-03-23,1.3614,1.3614,1.3055,1.3055,33000
1992-03-24,1.3055,1.3055,1.3055,1.3055,4200
1992-03-25,1.3614,1.3614,1.3247,1.3614,18300
1992-03-26,1.3614,1.3614,1.3247,1.3247,9000
1992-03-27,1.3438,1.3614,1.3247,1.3247,8700
1992-03-30,1.3438,1.3438,1.3055,1.3055,35700
1992-03-31,1.3614,1.3614,1.3247,1.3247,25200
1992-04-01,1.2879,1.3055,1.2687,1.2687,18900
1992-04-02,1.3055,1.3055,1.3055,1.3055,3600
1992-04-03,1.3055,1.3055,1.2334,1.2334,1800
1992-04-06,1.2334,1.2334,1.2334,1.2334,3000
1992-04-07,1.2879,1.2879,1.2511,1.2511,27600
1992-04-08,1.2334,1.2687,1.2334,1.2687,13800
1992-04-09,1.2511,1.2687,1.2511,1.2511,45300
1992-04-10,1.2511,1.2879,1.2511,1.2879,1200
1992-04-13,1.2879,1.2879,1.2879,1.2879,600
1992-04-14,1.2511,1.2879,1.2511,1.2879,29700
1992-04-15,1.3247,1.3438,1.3055,1.3438,33000
1992-04-16,1.3438,1.3438,1.3438,1.3438,0
1992-04-20,1.3055,1.3055,1.2687,1.2687,9000
1992-04-21,1.3438,1.3438,1.2143,1.3247,11700
1992-04-22,1.3247,1.3247,1.2143,1.2511,33900
1992-04-23,1.3247,1.3438,1.3055,1.3438,9300
1992-04-24,1.3438,1.3438,1.3438,1.3438,3300
1992-04-27,1.3438,1.3614,1.2511,1.3247,98100
1992-04-28,1.3247,1.3247,1.3247,1.3247,3000
1992-04-29,1.3247,1.3247,1.2511,1.3247,25800
1992-04-30,1.3247,1.3247,1.2143,1.2511,39300
1992-05-01,1.2143,1.2334,1.2143,1.2334,3600
1992-05-04,1.2879,1.3247,1.2879,1.3247,22500
1992-05-05,1.3614,1.4350,1.3614,1.3982,165900
1992-05-06,1.4159,1.4159,1.3614,1.3982,20100
1992-05-07,1.3982,1.4718,1.3982,1.4350,112500
1992-05-08,1.3982,1.4350,1.3247,1.3614,121200
1992-05-11,1.2879,1.3614,1.2879,1.3614,69600
1992-05-12,1.3614,1.4159,1.3247,1.3438,48600
1992-05-13,1.3247,1.3614,1.3247,1.3614,21900
1992-05-14,1.3614,1.3614,1.3247,1.3247,5700
1992-05-15,1.2334,1.3247,1.2334,1.2687,16200
1992-05-18,1.2334,1.3247,1.2334,1.2879,16500
1992-05-19,1.2334,1.2879,1.2334,1.2879,9900
1992-05-20,1.2687,1.2687,1.2687,1.2687,3000
1992-05-21,1.2334,1.2334,1.2334,1.2334,9000
1992-05-22,1.2334,1.2879,1.2334,1.2879,3300
1992-05-26,1.2143,1.2143,1.2143,1.2143,600
1992-05-27,1.2879,1.2879,1.1775,1.1775,55800
1992-05-28,1.2334,1.2511,1.1775,1.2511,6600
1992-05-29,1.2511,1.2511,1.2143,1.2143,88800
1992-06-01,1.1775,1.1966,1.1775,1.1966,7500
1992-06-02,1.2143,1.2511,1.1407,1.1775,28800
1992-06-03,1.0847,1.0847,1.0847,1.0847,600
1992-06-04,1.2143,1.2143,1.1598,1.1598,4500
1992-06-05,1.2143,1.2143,1.1966,1.1966,18300
1992-06-08,1.1775,1.1775,1.1775,1.1775,900
1992-06-09,1.2143,1.2143,1.1775,1.2143,4500
1992-06-10,1.1966,1.1966,1.1775,1.1775,18300
1992-06-11,1.2143,1.2143,1.1407,1.1775,30600
1992-06-12,1.1598,1.1775,1.1598,1.1775,17100
1992-06-15,1.1775,1.1775,1.1775,1.1775,3600
1992-06-16,1.1775,1.1775,1.1598,1.1598,7800
1992-06-17,1.1407,1.1775,1.1407,1.1598,42900
1992-06-18,1.1598,1.1598,1.1598,1.1598,0
