date,open,high,low,close,volume
1986-03-13,0.0552,0.0633,0.0552,0.0606,1031788800
1986-03-14,0.0606,0.0639,0.0606,0.0628,308160000
1986-03-17,0.0628,0.0644,0.0628,0.0639,133171200
1986-03-18,0.0639,0.0644,0.0617,0.0622,67766400
1986-03-19,0.0622,0.0628,0.0606,0.0611,47894400
1986-03-20,0.0611,0.0611,0.0590,0.0595,58435200
1986-03-21,0.0595,0.0606,0.0568,0.0579,59990400
1986-03-24,0.0579,0.0579,0.0557,0.0563,65289600
1986-03-25,0.0563,0.0574,0.0557,0.0574,32083200
1986-03-26,0.0574,0.0595,0.0568,0.0590,22752000
1986-03-27,0.0590,0.0601,0.0590,0.0601,16848000
1986-03-31,0.0601,0.0601,0.0584,0.0595,12873600
1986-04-01,0.0595,0.0595,0.0590,0.0590,11088000
1986-04-02,0.0590,0.0606,0.0590,0.0595,27014400
1986-04-03,0.0601,0.0617,0.0601,0.0601,23040000
1986-04-04,0.0601,0.0606,0.0601,0.0601,26582400
1986-04-07,0.0601,0.0606,0.0579,0.0590,16560000
1986-04-08,0.0590,0.0606,0.0590,0.0595,10252800
1986-04-09,0.0595,0.0611,0.0595,0.0606,12153600
1986-04-10,0.0606,0.0617,0.0595,0.0611,13881600
1986-04-11,0.0617,0.0633,0.0617,0.0622,17222400
1986-04-14,0.0622,0.0633,0.0622,0.0628,12153600
1986-04-15,0.0628,0.0628,0.0606,0.0628,9302400
1986-04-16,0.0628,0.0655,0.0622,0.0649,31910400
1986-04-17,0.0649,0.0655,0.0649,0.0655,22003200
1986-04-18,0.0655,0.0655,0.0628,0.0633,21628800
1986-04-21,0.0633,0.0639,0.0617,0.0633,22924800
1986-04-22,0.0633,0.0633,0.0622,0.0622,15552000
1986-04-23,0.0622,0.0628,0.0617,0.0625,15609600
1986-04-24,0.0625,0.0698,0.0622,0.0687,62352000
1986-04-25,0.0693,0.0760,0.0693,0.0731,85795200
1986-04-28,0.0731,0.0741,0.0725,0.0736,28886400
1986-04-29,0.0736,0.0736,0.0709,0.0714,30326400
1986-04-30,0.0714,0.0720,0.0682,0.0698,30902400
1986-05-01,0.0698,0.0698,0.0676,0.0687,54345600
1986-05-02,0.0687,0.0698,0.0682,0.0687,20246400
1986-05-05,0.0687,0.0687,0.0682,0.0682,3254400
1986-05-06,0.0687,0.0698,0.0687,0.0687,9734400
1986-05-07,0.0687,0.0693,0.0676,0.0687,5155200
1986-05-08,0.0687,0.0693,0.0682,0.0693,3542400
1986-05-09,0.0693,0.0693,0.0687,0.0687,6076800
1986-05-12,0.0687,0.0709,0.0687,0.0693,10483200
1986-05-13,0.0693,0.0703,0.0693,0.0698,3830400
1986-05-14,0.0698,0.0698,0.0693,0.0693,9302400
1986-05-15,0.0693,0.0703,0.0693,0.0693,3801600
1986-05-16,0.0693,0.0714,0.0693,0.0698,11952000
1986-05-19,0.0698,0.0698,0.0682,0.0687,11001600
1986-05-20,0.0687,0.0687,0.0676,0.0682,61977600
1986-05-21,0.0682,0.0687,0.0671,0.0671,8092800
1986-05-22,0.0671,0.0676,0.0671,0.0671,4406400
1986-05-23,0.0671,0.0682,0.0671,0.0671,4089600
1986-05-27,0.0671,0.0693,0.0671,0.0693,13881600
1986-05-28,0.0693,0.0714,0.0693,0.0714,15523200
1986-05-29,0.0714,0.0741,0.0709,0.0731,45676800
1986-05-30,0.0736,0.0768,0.0736,0.0758,27072000
1986-06-02,0.0758,0.0758,0.0736,0.0736,19728000
1986-06-03,0.0736,0.0736,0.0725,0.0736,5011200
1986-06-04,0.0736,0.0741,0.0725,0.0731,4723200
1986-06-05,0.0731,0.0741,0.0725,0.0741,13708800
1986-06-06,0.0741,0.0741,0.0731,0.0741,3427200
1986-06-09,0.0741,0.0741,0.0709,0.0709,12672000
1986-06-10,0.0709,0.0709,0.0698,0.0709,3427200
1986-06-11,0.0709,0.0709,0.0698,0.0709,2304000
1986-06-12,0.0709,0.0709,0.0676,0.0682,13708800
1986-06-13,0.0682,0.0687,0.0676,0.0682,7891200
1986-06-16,0.0682,0.0687,0.0671,0.0676,9590400
1986-06-17,0.0682,0.0698,0.0682,0.0687,13075200
1986-06-18,0.0687,0.0687,0.0671,0.0682,4348800
1986-06-19,0.0682,0.0687,0.0671,0.0676,8467200
1986-06-20,0.0676,0.0682,0.0676,0.0679,3801600
1986-06-23,0.0679,0.0687,0.0666,0.0687,46195200
1986-06-24,0.0687,0.0693,0.0676,0.0682,14572800
1986-06-25,0.0682,0.0687,0.0671,0.0671,15235200
1986-06-26,0.0671,0.0676,0.0649,0.0649,19152000
1986-06-27,0.0649,0.0655,0.0639,0.0644,10396800
1986-06-30,0.0644,0.0682,0.0639,0.0666,62352000
1986-07-01,0.0666,0.0666,0.0660,0.0666,47577600
1986-07-02,0.0666,0.0666,0.0660,0.0666,52617600
1986-07-03,0.0671,0.0682,0.0671,0.0676,14140800
1986-07-07,0.0676,0.0676,0.0649,0.0649,14054400
1986-07-08,0.0649,0.0649,0.0628,0.0633,14256000
1986-07-09,0.0633,0.0633,0.0601,0.0606,46137600
1986-07-10,0.0606,0.0611,0.0563,0.0590,46886400
1986-07-11,0.0590,0.0617,0.0590,0.0606,17395200
1986-07-14,0.0590,0.0611,0.0590,0.0598,28598400
1986-07-15,0.0598,0.0617,0.0590,0.0606,13190400
1986-07-16,0.0611,0.0628,0.0611,0.0628,9360000
1986-07-17,0.0628,0.0639,0.0622,0.0639,6940800
1986-07-18,0.0639,0.0649,0.0622,0.0644,12326400
1986-07-21,0.0644,0.0655,0.0644,0.0644,3513600
1986-07-22,0.0644,0.0666,0.0644,0.0666,10512000
1986-07-23,0.0666,0.0676,0.0649,0.0649,20793600
1986-07-24,0.0660,0.0682,0.0660,0.0671,14140800
1986-07-25,0.0671,0.0682,0.0671,0.0676,20448000
1986-07-28,0.0676,0.0676,0.0660,0.0660,11808000
1986-07-29,0.0660,0.0666,0.0633,0.0644,14054400
1986-07-30,0.0644,0.0644,0.0601,0.0622,26409600
1986-07-31,0.0622,0.0628,0.0617,0.0617,15638400
1986-08-01,0.0617,0.0622,0.0606,0.0611,12902400
1986-08-04,0.0611,0.0611,0.0595,0.0611,12441600
1986-08-05,0.0611,0.0617,0.0606,0.0606,2822400
1986-08-06,0.0606,0.0611,0.0590,0.0601,18316800
1986-08-07,0.0601,0.0606,0.0590,0.0595,3657600
1986-08-08,0.0595,0.0611,0.0595,0.0601,4147200
1986-08-11,0.0611,0.0628,0.0611,0.0622,7948800
1986-08-12,0.0622,0.0639,0.0622,0.0639,9993600
1986-08-13,0.0639,0.0644,0.0633,0.0644,6883200
1986-08-14,0.0644,0.0666,0.0644,0.0660,20131200
1986-08-15,0.0660,0.0666,0.0655,0.0663,6105600
1986-08-18,0.0663,0.0666,0.0655,0.0655,12787200
1986-08-19,0.0655,0.0657,0.0644,0.0655,20390400
1986-08-20,0.0655,0.0655,0.0649,0.0649,20764800
1986-08-21,0.0649,0.0660,0.0649,0.0649,49536000
1986-08-22,0.0649,0.0655,0.0628,0.0639,5760000
1986-08-25,0.0639,0.0639,0.0628,0.0639,2419200
1986-08-26,0.0639,0.0639,0.0633,0.0633,10857600
1986-08-27,0.0633,0.0639,0.0628,0.0633,9532800
