date,open,high,low,close,volume
1986-03-12,0.0519,0.0525,0.0519,0.0519,392979600
1986-03-13,0.0532,0.0538,0.0532,0.0532,125290800
1986-03-14,0.0550,0.0557,0.0550,0.0550,57866400
1986-03-17,0.0544,0.0544,0.0538,0.0538,28285200
1986-03-18,0.0532,0.0532,0.0525,0.0525,32335200
1986-03-19,0.0525,0.0525,0.0513,0.0513,22712400
1986-03-20,0.0513,0.0519,0.0513,0.0513,17787600
1986-03-21,0.0506,0.0506,0.0494,0.0494,16232400
1986-03-24,0.0494,0.0500,0.0494,0.0494,20736000
1986-03-25,0.0494,0.0500,0.0494,0.0494,21675600
1986-03-26,0.0500,0.0513,0.0500,0.0500,23328000
1986-03-27,0.0519,0.0532,0.0519,0.0519,21513600
1986-03-31,0.0525,0.0532,0.0525,0.0525,9882000
1986-04-01,0.0506,0.0506,0.0500,0.0500,20314800
1986-04-02,0.0500,0.0506,0.0494,0.0494,12960000
1986-04-03,0.0513,0.0525,0.0513,0.0513,11955600
1986-04-04,0.0513,0.0519,0.0506,0.0506,10659600
1986-04-07,0.0513,0.0519,0.0513,0.0513,9007200
1986-04-08,0.0513,0.0525,0.0513,0.0513,15001200
1986-04-09,0.0513,0.0519,0.0513,0.0513,8942400
1986-04-10,0.0513,0.0519,0.0513,0.0513,9428400
1986-04-11,0.0525,0.0532,0.0525,0.0525,18273600
1986-04-14,0.0525,0.0532,0.0525,0.0525,46785600
1986-04-15,0.0525,0.0532,0.0525,0.0532,12020400
1986-04-16,0.0532,0.0557,0.0525,0.0557,22550400
1986-04-17,0.0557,0.0607,0.0557,0.0607,19699200
1986-04-18,0.0607,0.0671,0.0607,0.0658,27799200
1986-04-21,0.0658,0.0731,0.0652,0.0721,33534000
1986-04-22,0.0721,0.0721,0.0677,0.0683,38264400
1986-04-23,0.0683,0.0683,0.0664,0.0664,4114800
1986-04-24,0.0664,0.0677,0.0664,0.0677,10789200
1986-04-25,0.0677,0.0690,0.0677,0.0690,4633200
1986-04-28,0.0690,0.0709,0.0690,0.0696,46008000
1986-04-29,0.0696,0.0702,0.0683,0.0690,2786400
1986-04-30,0.0677,0.0677,0.0633,0.0633,9720000
1986-05-01,0.0633,0.0652,0.0633,0.0645,21546000
1986-05-02,0.0645,0.0652,0.0607,0.0607,10627200
1986-05-05,0.0607,0.0620,0.0607,0.0620,4924800
1986-05-06,0.0620,0.0639,0.0607,0.0639,7257600
1986-05-07,0.0639,0.0652,0.0639,0.0652,11826000
1986-05-08,0.0652,0.0671,0.0645,0.0658,21254400
1986-05-09,0.0658,0.0671,0.0658,0.0671,7581600
1986-05-12,0.0671,0.0671,0.0658,0.0664,11404800
1986-05-13,0.0664,0.0683,0.0658,0.0683,35510400
1986-05-14,0.0683,0.0683,0.0664,0.0664,2559600
1986-05-15,0.0664,0.0677,0.0664,0.0677,939600
1986-05-16,0.0677,0.0683,0.0671,0.0683,3985200
1986-05-19,0.0683,0.0683,0.0645,0.0645,8974800
1986-05-20,0.0645,0.0658,0.0645,0.0645,4438800
1986-05-21,0.0645,0.0652,0.0645,0.0652,874800
1986-05-22,0.0652,0.0652,0.0626,0.0633,11599200
1986-05-23,0.0633,0.0639,0.0620,0.0620,4600800
1986-05-27,0.0620,0.0633,0.0614,0.0626,2430000
1986-05-28,0.0626,0.0626,0.0614,0.0626,1198800
1986-05-29,0.0614,0.0614,0.0601,0.0601,5086800
1986-05-30,0.0601,0.0614,0.0588,0.0595,20574000
1986-06-02,0.0595,0.0595,0.0563,0.0576,8845200
1986-06-03,0.0576,0.0592,0.0532,0.0592,62175600
1986-06-04,0.0592,0.0595,0.0582,0.0595,22582800
1986-06-05,0.0595,0.0658,0.0582,0.0633,28447200
1986-06-06,0.0633,0.0645,0.0633,0.0633,4341600
1986-06-09,0.0633,0.0639,0.0607,0.0626,6091200
1986-06-10,0.0626,0.0626,0.0601,0.0614,17917200
1986-06-11,0.0614,0.0633,0.0614,0.0633,10432800
1986-06-12,0.0633,0.0636,0.0626,0.0626,12700800
1986-06-13,0.0626,0.0645,0.0626,0.0633,19213200
1986-06-16,0.0633,0.0639,0.0626,0.0626,5378400
1986-06-17,0.0626,0.0636,0.0614,0.0620,18500400
1986-06-18,0.0620,0.0626,0.0614,0.0614,8164800
1986-06-19,0.0614,0.0626,0.0614,0.0623,5670000
1986-06-20,0.0623,0.0626,0.0611,0.0614,21384000
1986-06-23,0.0614,0.0626,0.0607,0.0626,18079200
1986-06-24,0.0626,0.0626,0.0607,0.0626,10659600
1986-06-25,0.0626,0.0626,0.0620,0.0620,550800
1986-06-26,0.0620,0.0633,0.0607,0.0626,5670000
1986-06-27,0.0626,0.0626,0.0614,0.0614,13867200
1986-06-30,0.0614,0.0626,0.0614,0.0617,7549200
1986-07-01,0.0617,0.0626,0.0614,0.0626,2721600
1986-07-02,0.0626,0.0626,0.0614,0.0614,972000
1986-07-03,0.0614,0.0626,0.0614,0.0614,4050000
1986-07-07,0.0614,0.0626,0.0601,0.0607,10303200
1986-07-08,0.0607,0.0607,0.0601,0.0601,6577200
1986-07-09,0.0601,0.0607,0.0601,0.0607,3304800
1986-07-10,0.0607,0.0620,0.0607,0.0607,2170800
1986-07-11,0.0607,0.0620,0.0601,0.0601,5605200
1986-07-14,0.0601,0.0614,0.0595,0.0614,19083600
1986-07-15,0.0601,0.0601,0.0538,0.0544,30747600
1986-07-16,0.0532,0.0532,0.0437,0.0449,112492800
1986-07-17,0.0456,0.0494,0.0456,0.0481,131900400
1986-07-18,0.0481,0.0487,0.0468,0.0475,20379600
1986-07-21,0.0475,0.0475,0.0462,0.0468,8910000
1986-07-22,0.0468,0.0468,0.0456,0.0456,8067600
1986-07-23,0.0456,0.0462,0.0449,0.0449,7776000
1986-07-24,0.0449,0.0456,0.0418,0.0424,16783200
1986-07-25,0.0418,0.0418,0.0399,0.0418,8618400
1986-07-28,0.0411,0.0411,0.0392,0.0411,7192800
1986-07-29,0.0411,0.0411,0.0392,0.0402,28609200
1986-07-30,0.0402,0.0405,0.0392,0.0405,9169200
1986-07-31,0.0405,0.0405,0.0392,0.0392,3078000
1986-08-01,0.0392,0.0405,0.0392,0.0392,5896800
1986-08-04,0.0392,0.0392,0.0367,0.0373,12376800
1986-08-05,0.0373,0.0386,0.0367,0.0367,3272400
1986-08-06,0.0367,0.0386,0.0367,0.0376,2559600
1986-08-07,0.0376,0.0386,0.0367,0.0386,5378400
1986-08-08,0.0386,0.0386,0.0367,0.0386,5767200
1986-08-11,0.0386,0.0386,0.0342,0.0367,44874000
1986-08-12,0.0373,0.0392,0.0373,0.0386,40014000
1986-08-13,0.0386,0.0411,0.0386,0.0402,37810800
1986-08-14,0.0402,0.0402,0.0386,0.0402,21157200
1986-08-15,0.0402,0.0411,0.0399,0.0402,15487200
1986-08-18,0.0402,0.0405,0.0399,0.0402,29905200
1986-08-19,0.0402,0.0405,0.0399,0.0405,6901200
1986-08-20,0.0405,0.0405,0.0386,0.0386,8715600
1986-08-21,0.0386,0.0399,0.0386,0.0386,1555200
1986-08-22,0.0386,0.0392,0.0386,0.0386,388800
1986-08-25,0.0386,0.0392,0.0386,0.0392,7646400
1986-08-26,0.0392,0.0392,0.0348,0.0367,3855600
1986-08-27,0.0367,0.0386,0.0367,0.0386,5799600
1986-08-28,0.0386,0.0399,0.0380,0.0399,56862000
1986-08-29,0.0399,0.0430,0.0399,0.0418,40856400
1986-09-02,0.0418,0.0437,0.0418,0.0430,20736000
1986-09-03,0.0430,0.0430,0.0418,0.0430,19213200
1986-09-04,0.0430,0.0430,0.0392,0.0405,89877600
1986-09-05,0.0405,0.0411,0.0386,0.0399,30391200
1986-09-08,0.0399,0.0399,0.0380,0.0392,1944000
1986-09-09,0.0392,0.0399,0.0386,0.0399,14774400
1986-09-10,0.0399,0.0399,0.0386,0.0386,37843200
1986-09-11,0.0386,0.0392,0.0342,0.0342,8586000
1986-09-12,0.0342,0.0367,0.0335,0.0367,19504800
1986-09-15,0.0367,0.0367,0.0354,0.0354,1198800
1986-09-16,0.0354,0.0380,0.0354,0.0380,28058400
1986-09-17,0.0386,0.0399,0.0386,0.0392,8910000
1986-09-18,0.0392,0.0399,0.0380,0.0380,4762800
